shot07489_36,crossword_puzzle,0.7218
shot07489_56,ping-pong_ball,0.9144
shot07489_4,barbell,0.3007
shot07489_4,dumbbell,0.2105
shot07489_115,basketball,0.2106
shot07489_58,ping-pong_ball,0.7842
shot07489_100,groom,0.3673
shot07489_132,pajama,0.24
shot07489_55,pajama,0.2632
shot07489_80,kimono,0.3744
shot07489_80,groom,0.2281
shot07489_51,limousine,0.2145
shot07489_134,binoculars,0.4337
shot07489_59,ping-pong_ball,0.7961
shot07489_75,nipple,0.9824
shot07489_13,croquet_ball,0.9559
shot07489_67,maraca,0.3169
shot07489_125,ice_lolly,0.2117
shot07489_131,toyshop,0.3401
shot07489_85,kimono,0.2164
shot07489_70,groom,0.2583
shot07489_103,rugby_ball,0.2029
shot07489_39,diaper,0.2639
shot07489_82,pajama,0.3975
shot07489_60,hot_pot,0.4245
shot07489_45,lab_coat,0.4499
shot07489_135,maillot,0.2097
shot07489_9,swimming_trunks,0.2045
shot07489_112,steel_drum,0.261
shot07489_53,maraca,0.467
shot07489_53,ping-pong_ball,0.2525
shot07489_57,ping-pong_ball,0.8216
shot07489_38,diaper,0.246
shot07489_89,pajama,0.2029
shot07489_22,abacus,0.6147
shot07489_78,pajama,0.7426
shot07489_104,monitor,0.2822
shot07489_66,balance_beam,0.3184
shot07489_101,academic_gown,0.2578
shot07489_83,pajama,0.2066
shot07489_12,punching_bag,0.3689
shot07489_18,nipple,0.2895
shot07489_46,ice_lolly,0.349
shot07489_52,maraca,0.4367
shot07489_123,beaker,0.3086
shot07489_111,horizontal_bar,0.2691
shot07489_43,hair_spray,0.2162
shot07489_72,ping-pong_ball,0.9576
shot07489_49,patio,0.2379
shot07489_130,hair_spray,0.2178
